"tag_id","t_run","t_rear_type","pass_type_T_R","rel_huc","rel_site","rel_rkm","rel_age","MPG","MPG.bin","BYage0","SYage1","AYageT","adult_age","OceanAge","length","SYage1_DOY","LGR.flow.7d","LGR.temp.7d","NPGO.ONDJFM.T","NPGO.ONDJFM.T.AVG3"
"5111225509",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1997","1998","2001",5,"3-Ocean or greater",118,"101",62.2697142857143,9.10314285714286,2.347,1.681
"5273790F61",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",122,"118",116.377428571429,9.95428571428571,2.347,1.89966666666667
"5303215522",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",123,"146",125.069142857143,12.465,2.347,1.89966666666667
"527936447D",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",119,"118",116.377428571429,9.95428571428571,2.347,1.89966666666667
"52644B517B",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2002",5,"3-Ocean or greater",116,"131",94.984,10.2762857142857,1.814,1.89966666666667
"526B7B5B37",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",100,"114",111.210142857143,9.72642857142857,2.347,1.89966666666667
"511A7F1A60",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1997","1998","2000",4,"2-Ocean",117,"109",55.5852857142857,9.59328571428571,1.538,1.681
"5300591D43",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",122,"124",106.416714285714,9.768,2.347,1.89966666666667
"5275156D29",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",109,"119",114.383428571429,10.0317142857143,2.347,1.89966666666667
"511A705B12",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",119,"106",78.4517142857143,8.64842857142857,2.347,1.89966666666667
"53043C3B5C",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2002",5,"3-Ocean or greater",119,"119",114.383428571429,10.0317142857143,1.814,1.89966666666667
"52647A116D",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",108,"129",98.9631428571429,10.1541428571429,2.347,1.89966666666667
"52734D0447",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2002",5,"3-Ocean or greater",117,"128",100.334571428571,10.0191428571429,1.814,1.89966666666667
"525F732612",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",107,"124",106.416714285714,9.768,2.347,1.89966666666667
"527505757D",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",116,"117",116.973285714286,9.90014285714286,2.347,1.89966666666667
"52714F1B62",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",117,"125",103.352428571429,9.72814285714286,2.347,1.89966666666667
"526B4D3969",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2002",5,"3-Ocean or greater",114,"128",100.334571428571,10.0191428571429,1.814,1.89966666666667
"526F2D0A29",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",106,"123",108.377428571429,9.87871428571429,2.347,1.89966666666667
"524B7C4220",5,"W","T","17060107","LGRRBR","522.173","SmoltAtLGR","Lower Snake River","Lower Snake","1998","1999","2001",4,"2-Ocean",105,"121",110.911428571429,9.99771428571429,2.347,1.89966666666667
