year,month,NPGO
1990,1,0.2687734
1990,2,-0.28017566
1990,3,0.65271548
1990,4,0.24156556
1990,5,-0.096055435
1990,6,-0.065433778
1990,7,-0.25829866
1990,8,-0.33040579
1990,9,-0.15925639
1990,10,-0.12022116
1990,11,-0.73895202
1990,12,-1.532809
1991,1,-0.74421842
1991,2,-0.30453129
1991,3,-0.80698494
1991,4,-0.20643753
1991,5,-0.059529254
1991,6,-0.38776968
1991,7,-0.4794923
1991,8,-0.57405316
1991,9,-0.94857557
1991,10,-1.0900901
1991,11,-0.17231725
1991,12,-0.21297704
1992,1,0.49307736
1992,2,-0.45653143
1992,3,-0.82080177
1992,4,-1.4336134
1992,5,-1.7956172
1992,6,-1.3506516
1992,7,-1.4624325
1992,8,-1.2474734
1992,9,-0.94662956
1992,10,-0.96898904
1992,11,-1.2806748
1992,12,-1.8686891
1993,1,-2.8169835
1993,2,-2.1408178
1993,3,-1.7419109
1993,4,-0.75883626
1993,5,-1.0894275
1993,6,-1.6821039
1993,7,-1.6785552
1993,8,-1.5143229
1993,9,-2.0474347
1993,10,-2.3542966
1993,11,-2.9986692
1993,12,-2.0005526
1994,1,-1.8540143
1994,2,-1.9786652
1994,3,-1.8557886
1994,4,-1.4470739
1994,5,-0.30135894
1994,6,-0.61160343
1994,7,-0.71112965
1994,8,-0.85876787
1994,9,-1.1048639
1994,10,-1.1107256
1994,11,-1.6884391
1994,12,-1.0167549
1995,1,-0.49903343
1995,2,-1.5608722
1995,3,-2.0546501
1995,4,-1.8249588
1995,5,-1.5042438
1995,6,-1.0479894
1995,7,-1.4994407
1995,8,-1.0060149
1995,9,-0.89392105
1995,10,-0.51771379
1995,11,-0.2774263
1995,12,0.21576192
1996,1,-0.63897712
1996,2,-1.0529048
1996,3,-1.1487637
1996,4,-0.43611656
1996,5,-1.2747659
1996,6,-1.0600342
1996,7,-0.88413569
1996,8,-0.74825013
1996,9,-0.93392844
1996,10,-1.0410775
1996,11,-1.1001672
1996,12,-1.3549181
1997,1,-1.6402249
1997,2,-1.1130951
1997,3,-0.61802828
1997,4,-0.5061382
1997,5,-0.87719416
1997,6,-0.93839334
1997,7,-0.77236159
1997,8,-0.7858272
1997,9,-0.48147621
1997,10,-0.59425899
1997,11,0.17402893
1997,12,0.26068165
1998,1,0.52791423
1998,2,1.9000587
1998,3,0.89331784
1998,4,0.52151313
1998,5,0.27758158
1998,6,0.11902247
1998,7,0.39316174
1998,8,0.27265688
1998,9,0.044480388
1998,10,0.098751134
1998,11,0.71735091
1998,12,0.76883039
1999,1,1.0828257
1999,2,2.3041594
1999,3,1.9742975
1999,4,1.6464381
1999,5,1.6045933
1999,6,1.9053233
1999,7,1.3811213
1999,8,1.4334654
1999,9,1.3049656
1999,10,1.1788208
1999,11,1.3205504
1999,12,1.0528054
2000,1,1.4045384
2000,2,2.1235311
2000,3,2.1492677
2000,4,2.3652705
2000,5,2.220292
2000,6,2.1020662
2000,7,1.655785
2000,8,1.3516272
2000,9,1.3801795
2000,10,1.6981881
2000,11,2.0145948
2000,12,2.164995
2001,1,2.8619328
