
mm/dd,2022:LWG:gaspct (%),2021:LWG:gaspct (%),2020:LWG:gaspct (%),2019:LWG:gaspct (%),2018:LWG:gaspct (%),2017:LWG:gaspct (%),2016:LWG:gaspct (%),2015:LWG:gaspct (%),2014:LWG:gaspct (%),2013:LWG:gaspct (%),2012:LWG:gaspct (%),2011:LWG:gaspct (%),2010:LWG:gaspct (%),2009:LWG:gaspct (%),2008:LWG:gaspct (%),2007:LWG:gaspct (%),2006:LWG:gaspct (%),2005:LWG:gaspct (%),2004:LWG:gaspct (%),2003:LWG:gaspct (%),2002:LWG:gaspct (%),2001:LWG:gaspct (%),2000:LWG:gaspct (%),1999:LWG:gaspct (%),1998:LWG:gaspct (%),2022:LWG:outflow (kcfs),2021:LWG:outflow (kcfs),2020:LWG:outflow (kcfs),2019:LWG:outflow (kcfs),2018:LWG:outflow (kcfs),2017:LWG:outflow (kcfs),2016:LWG:outflow (kcfs),2015:LWG:outflow (kcfs),2014:LWG:outflow (kcfs),2013:LWG:outflow (kcfs),2012:LWG:outflow (kcfs),2011:LWG:outflow (kcfs),2010:LWG:outflow (kcfs),2009:LWG:outflow (kcfs),2008:LWG:outflow (kcfs),2007:LWG:outflow (kcfs),2006:LWG:outflow (kcfs),2005:LWG:outflow (kcfs),2004:LWG:outflow (kcfs),2003:LWG:outflow (kcfs),2002:LWG:outflow (kcfs),2001:LWG:outflow (kcfs),2000:LWG:outflow (kcfs),1999:LWG:outflow (kcfs),1998:LWG:outflow (kcfs),2022:LWG:spillpct (%),2021:LWG:spillpct (%),2020:LWG:spillpct (%),2019:LWG:spillpct (%),2018:LWG:spillpct (%),2017:LWG:spillpct (%),2016:LWG:spillpct (%),2015:LWG:spillpct (%),2014:LWG:spillpct (%),2013:LWG:spillpct (%),2012:LWG:spillpct (%),2011:LWG:spillpct (%),2010:LWG:spillpct (%),2009:LWG:spillpct (%),2008:LWG:spillpct (%),2007:LWG:spillpct (%),2006:LWG:spillpct (%),2005:LWG:spillpct (%),2004:LWG:spillpct (%),2003:LWG:spillpct (%),2002:LWG:spillpct (%),2001:LWG:spillpct (%),2000:LWG:spillpct (%),1999:LWG:spillpct (%),1998:LWG:spillpct (%),2022:LWG:tempc (C),2021:LWG:tempc (C),2020:LWG:tempc (C),2019:LWG:tempc (C),2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C),2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C)
1/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.414,99.781,100.068,97.454,97.104,98.685,101.561,100.218,101.074,20.833,21.738,22.204,21.483,44.546,21.221,23.013,25.954,18.538,22.200,31.971,26.292,20.083,17.213,22.488,27.325,62.817,21.463,15.663,17.138,19.121,19.100,22.858,50.388,26.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.227,4.726,NA,NA,NA,NA,NA,NA,NA,NA,4.071,4.174,4.366,4.628,4.126,3.480,4.796,4.025,11.163
1/2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.517,99.067,98.849,98.318,97.721,98.616,101.289,99.837,100.934,21.150,26.696,22.075,21.133,42.388,16.983,23.350,23.938,19.642,27.025,28.704,27.117,15.950,22.242,22.450,26.621,73.863,20.013,17.263,14.563,18.033,14.213,21.079,48.646,24.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,4.103,4.435,NA,NA,NA,NA,NA,NA,NA,NA,4.458,3.930,4.363,4.586,3.994,3.618,4.633,3.725,11.267
1/3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.413,98.692,98.073,98.536,97.138,99.012,99.868,99.754,101.122,18.104,23.125,22.229,19.625,35.725,21.613,22.817,24.488,18.817,23.250,32.933,33.004,19.138,28.554,19.450,28.617,55.525,23.029,17.583,16.575,22.750,14.504,25.988,40.613,27.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.930,4.178,NA,NA,NA,NA,NA,NA,NA,NA,4.529,3.750,4.294,4.583,3.785,3.720,4.392,3.788,12.663
1/4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.479,98.742,96.237,99.034,97.153,99.820,100.954,99.691,101.152,19.663,28.433,22.208,19.533,38.204,22.242,20.546,28.229,22.675,21.925,30.713,28.054,22.742,25.475,24.113,31.621,52.546,18.875,18.725,20.688,25.567,16.200,30.433,36.321,26.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.417,3.994,NA,NA,NA,NA,NA,NA,NA,NA,4.651,3.678,4.086,4.651,3.490,3.697,4.171,3.646,13.538
1/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.076,98.075,94.915,97.850,97.543,100.634,100.081,100.119,100.250,23.538,28.821,20.542,20.038,37.842,24.188,24.563,27.300,17.592,23.008,25.988,30.554,24.363,20.746,20.763,33.867,42.029,18.704,23.383,16.346,22.063,15.775,31.296,36.404,22.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.386,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.367,3.751,NA,NA,NA,NA,NA,NA,NA,NA,4.792,3.550,3.634,4.648,3.568,3.688,3.908,3.662,13.204
1/6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.284,98.830,96.114,97.949,98.438,100.360,99.942,101.185,99.922,20.513,29.729,20.558,19.108,36.542,25.688,26.592,31.242,18.733,16.921,24.054,24.796,30.067,27.517,24.721,31.225,44.296,24.396,30.725,21.183,27.850,15.113,29.996,39.000,28.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.244,3.408,NA,NA,NA,NA,NA,NA,NA,NA,4.898,3.426,3.219,4.560,3.534,3.590,3.792,3.700,11.892
1/7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.865,100.115,96.720,98.187,99.443,100.854,99.894,101.671,99.669,25.388,25.733,19.533,22.354,33.842,22.950,27.104,37.904,22.263,25.350,23.092,25.954,31.275,25.367,21.429,32.679,40.496,30.725,30.258,19.467,22.379,15.783,34.538,43.496,32.275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.909,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.176,2.951,NA,NA,NA,NA,NA,NA,NA,NA,4.790,3.365,2.715,4.561,3.777,3.455,3.446,3.683,11.858
1/8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.707,99.809,96.141,98.179,99.612,101.436,100.684,101.382,98.571,24.642,24.804,22.917,21.096,39.967,21.546,26.571,38.708,20.521,30.746,26.750,25.933,30.200,46.283,27.150,31.000,29.308,14.696,21.846,18.033,33.354,15.892,30.454,48.392,30.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.028,2.791,NA,NA,NA,NA,NA,NA,NA,NA,4.679,3.387,2.478,4.563,3.960,3.260,3.250,3.450,12.663
1/9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.194,98.300,96.174,98.227,98.999,101.548,101.219,101.705,98.341,27.942,27.121,22.629,21.042,40.800,21.067,24.571,36.429,19.292,27.096,26.079,25.579,26.717,59.013,23.563,39.367,32.821,13.413,20.963,18.675,35.313,15.188,37.263,47.017,30.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,3.034,2.709,NA,NA,NA,NA,NA,NA,NA,NA,4.629,3.413,2.311,4.616,4.086,3.279,3.233,3.387,13.833
1/10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.764,97.823,96.534,98.463,98.762,101.479,101.693,102.249,97.171,24.129,24.238,23.633,22.350,46.750,29.100,23.463,33.479,15.496,22.658,24.300,30.396,26.758,44.138,25.313,30.400,39.325,21.663,20.708,19.133,38.271,17.079,28.342,43.904,33.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,2.942,2.915,NA,NA,NA,NA,NA,NA,NA,NA,4.643,3.452,1.962,4.542,4.353,3.241,3.300,3.700,12.379
