"","SYage1.Estimate.Intercept","SYage1.Est.Error.Intercept","SYage1.Q5.Intercept","SYage1.Q95.Intercept"
"1998",0.0819,0.1448,-0.1566,0.3187
"1999",-0.2031,0.1422,-0.4347,0.029
"2000",0.8038,0.1371,0.5825,1.0294
"2001",-0.1839,0.1309,-0.3963,0.0258
"2002",-0.1511,0.0927,-0.3057,3e-04
"2003",0.2965,0.1285,0.0838,0.509
"2004",0.5233,0.1331,0.3079,0.7429
"2005",0.4061,0.14,0.1768,0.6399
"2006",-0.0526,0.1042,-0.2244,0.1171
"2007",-0.2237,0.1117,-0.4053,-0.043
"2008",-0.1243,0.0991,-0.2865,0.0373
"2009",0.112,0.0983,-0.0469,0.2737
"2010",-0.3333,0.1073,-0.5093,-0.156
"2011",-0.1096,0.1118,-0.2947,0.0747
"2012",-0.4911,0.0892,-0.641,-0.3447
"2013",0.0382,0.0955,-0.1206,0.1943
"2014",0.0542,0.1061,-0.1192,0.2291
"2015",-0.162,0.1855,-0.4692,0.141
"2016",-0.2478,0.1409,-0.4775,-0.0194
"2017",0.0942,0.1841,-0.2024,0.3926
"2018",-0.053,0.1528,-0.3049,0.1926
"2019",0.1047,0.1566,-0.1493,0.3645
"2020",-0.1286,0.1417,-0.3615,0.1003
